,team1,team2,Ground,date,Series,toss_winner,first_batting,match_winner,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank
2217,Pakistan,Australia,"Sheikh Zayed Stadium, Abu Dhabi", May 1 2009, Australia v Pakistan ODI Series at Abu Dhabi,1,1,2,19,101,101,101,101,101,35,101,23,54,49,12,57,101,101,101,101,27,101,52,101,87,54,51,31,101,101,101,11,70,48,13,20,101,70,101,101,73,101,4,101,25,101,101
2218,Australia,Pakistan,"Sheikh Zayed Stadium, Abu Dhabi", May 3 2009, Australia v Pakistan ODI Series at Abu Dhabi,1,1,2,45,51,31,101,101,101,13,71,22,101,60,101,50,13,101,57,101,101,101,95,101,101,101,101,23,101,101,101,47,101,30,101,21,49,51,11,101,77,101,17,101,53,101,101
2219,West Indies,England,"County Ground, Bristol", May 24 2009, West Indies tour of England at Bristol,2,1,2,2,85,101,101,18,101,5,101,63,30,101,101,101,101,101,21,101,83,101,101,101,90,49,101,58,101,95,101,35,101,23,46,88,101,101,89,101,8,101,81,101,101,101,27
2220,England,West Indies,"Edgbaston, Birmingham", May 26 2009, West Indies tour of England at Birmingham,2,1,1,48,101,54,101,76,101,33,101,101,89,23,46,87,101,101,101,101,8,101,75,101,27,4,87,64,101,21,101,5,101,63,34,96,101,101,101,101,21,101,101,101,90,101,44
2221,India,West Indies,"Sabina Park, Kingston, Jamaica", Jun 26 2009, India tour of West Indies at Kingston,1,1,1,101,101,17,101,67,101,2,68,101,101,101,101,95,101,101,20,101,37,101,61,101,101,5,88,63,101,21,101,3,101,64,34,101,101,101,21,96,101,101,101,101,101,101,97
2222,India,West Indies,"Sabina Park, Kingston, Jamaica", Jun 28 2009, India tour of West Indies at Kingston,1,1,2,101,101,20,101,69,101,2,69,101,101,97,101,101,101,101,23,101,101,101,62,101,101,3,88,50,101,21,101,4,101,64,28,101,101,96,101,101,17,101,101,101,101,101,68
2223,West Indies,India,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia", Jul 3 2009, India tour of West Indies at Gros Islet,2,1,2,3,89,50,101,20,101,5,101,64,29,101,101,94,101,101,18,101,101,101,101,101,68,101,101,21,101,101,101,2,71,71,101,97,101,101,101,101,23,101,64,101,101,101,38
2224,West Indies,India,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia", Jul 5 2009, India tour of West Indies at Gros Islet,2,1,2,4,89,50,101,20,101,5,101,64,29,101,101,94,101,101,18,101,101,101,101,101,68,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
2225,Scotland,Canada,"Mannofield Park, Aberdeen", Jul 7 2009, Canada tour of Scotland at Aberdeen,2,1,2,87,101,101,101,101,101,101,101,98,101,101,101,101,101,101,101,101,101,101,101,101,88,86,101,101,101,101,101,101,101,69,101,90,60,101,101,101,101,101,56,101,101,101,80
2226,Canada,Scotland,"Mannofield Park, Aberdeen", Jul 8 2009, Canada tour of Scotland at Aberdeen,1,1,2,91,101,101,101,101,101,101,101,68,101,74,60,101,101,101,101,101,59,101,101,101,83,82,101,101,101,101,101,86,101,95,101,101,101,101,101,101,101,101,101,101,101,101,82
2227,Kenya,Ireland,"Castle Avenue, Dublin", Jul 9 2009, Kenya tour of Ireland at Dublin,1,1,2,101,101,101,101,101,101,57,64,101,101,95,101,82,40,101,86,101,101,101,30,101,52,72,101,101,101,101,101,101,48,101,101,101,101,101,101,101,73,101,37,101,101,101,94
2228,Netherlands,Canada,"VRA Ground, Amstelveen", Jul 11 2009, Canada tour of Netherlands at Amstelveen,2,1,1,101,101,101,101,101,101,38,56,101,101,101,101,101,101,101,101,101,100,101,101,101,101,101,101,60,101,101,101,101,101,101,101,77,59,101,101,101,101,101,101,101,101,101,81
2229,Kenya,Ireland,"Castle Avenue, Dublin", Jul 11 2009, Kenya tour of Ireland at Dublin,1,1,2,101,101,101,101,101,101,58,68,101,101,94,101,84,44,101,90,101,101,101,51,101,29,66,101,101,101,101,101,101,49,101,101,101,101,101,101,101,70,101,35,101,101,101,85
2230,Ireland,Kenya,"Castle Avenue, Dublin", Jul 12 2009, Kenya tour of Ireland at Dublin,2,1,1,66,101,101,101,101,101,101,52,101,101,101,101,101,101,101,31,101,101,101,101,101,84,101,101,101,101,101,101,63,61,84,101,101,91,89,44,101,101,101,101,101,45,101,101
2231,Bangladesh,West Indies,"Windsor Park, Roseau, Dominica", Jul 26 2009, Bangladesh tour of West Indies at Roseau,2,1,1,41,101,101,101,50,101,76,101,32,6,101,101,101,101,101,101,101,32,101,31,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,87,101,101,101,101,101,101,101,101
2232,West Indies,Bangladesh,"Windsor Park, Roseau, Dominica", Jul 28 2009, Bangladesh tour of West Indies at Roseau,1,1,2,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,79,101,101,101,101,101,101,41,101,101,101,47,101,76,101,29,4,101,101,101,101,101,100,101,31,101,101,101,33
2233,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium, Jul 30 2009, Pakistan tour of Sri Lanka at Dambulla,2,1,1,63,101,18,56,101,101,34,101,75,101,101,101,101,101,101,1,101,101,101,101,101,39,46,101,20,51,51,12,16,101,101,101,33,101,101,101,72,83,101,19,101,101,101,73
2234,West Indies,Bangladesh,"Warner Park, Basseterre, St Kitts", Jul 31 2009, Bangladesh tour of West Indies at Basseterre,1,1,2,101,101,101,101,101,101,101,101,101,101,101,101,101,67,101,101,101,101,101,101,101,101,41,101,101,101,49,101,77,101,29,4,101,101,101,100,101,96,101,33,101,101,101,101
2235,Pakistan,Sri Lanka,Rangiri Dambulla International Stadium, Aug 1 2009, Pakistan tour of Sri Lanka at Dambulla,2,1,2,101,101,46,101,101,101,22,52,101,101,101,101,51,13,74,80,101,21,101,101,101,76,65,101,18,60,101,101,35,101,58,101,101,101,101,101,101,101,101,1,101,40,101,101
2236,Pakistan,Sri Lanka,Rangiri Dambulla International Stadium, Aug 3 2009, Pakistan tour of Sri Lanka at Dambulla,2,1,2,44,101,101,101,101,101,22,55,101,101,101,101,51,16,72,80,101,52,101,101,101,69,57,101,28,101,101,101,101,101,85,101,59,101,101,101,101,1,101,101,101,44,101,101
2237,Pakistan,Sri Lanka,"R.Premadasa Stadium, Khettarama, Colombo", Aug 7 2009, Pakistan tour of Sri Lanka at Colombo,1,1,1,38,101,101,101,101,101,17,101,35,101,101,101,52,14,101,54,101,101,101,16,101,53,51,101,28,101,101,101,87,101,63,101,101,101,101,101,101,101,101,101,101,43,101,17
2238,Zimbabwe,Bangladesh,"Queens Sports Club, Bulawayo", Aug 9 2009, Bangladesh tour of Zimbabwe at Bulawayo,2,1,2,58,101,101,101,94,101,62,101,101,101,56,101,72,101,53,80,101,20,101,24,101,101,37,101,101,101,39,101,76,101,101,101,101,101,101,97,101,98,101,29,101,94,101,101
2239,Pakistan,Sri Lanka,"R.Premadasa Stadium, Khettarama, Colombo", Aug 9 2009, Pakistan tour of Sri Lanka at Colombo,1,1,1,43,101,101,101,101,101,16,101,31,101,95,101,51,15,101,45,101,17,101,101,101,53,52,101,20,62,28,101,101,101,65,101,77,101,101,101,101,1,101,101,101,101,101,16
2240,Bangladesh,Zimbabwe,"Queens Sports Club, Bulawayo", Aug 11 2009, Bangladesh tour of Zimbabwe at Bulawayo,2,1,1,37,101,101,101,39,101,23,3,72,101,101,99,101,101,101,97,101,101,101,92,101,26,101,101,61,101,101,101,95,101,64,101,48,101,70,101,101,21,53,73,101,24,101,42
2241,Zimbabwe,Bangladesh,"Queens Sports Club, Bulawayo", Aug 14 2009, Bangladesh tour of Zimbabwe at Bulawayo,2,1,1,101,101,92,101,53,101,101,101,56,101,48,68,69,101,101,101,101,24,101,19,101,26,37,101,101,101,42,101,59,101,24,4,101,101,101,97,101,101,101,101,101,101,101,30
2242,Zimbabwe,Bangladesh,"Queens Sports Club, Bulawayo", Aug 16 2009, Bangladesh tour of Zimbabwe at Bulawayo,1,1,2,101,101,54,101,71,101,58,101,52,101,67,101,48,70,101,101,101,28,101,22,101,17,30,101,101,101,46,101,59,101,25,5,101,101,101,97,101,98,101,101,101,32,101,101
2243,Zimbabwe,Bangladesh,"Queens Sports Club, Bulawayo", Aug 18 2009, Bangladesh tour of Zimbabwe at Bulawayo,1,1,2,97,101,53,101,79,101,101,101,52,101,50,68,54,101,101,24,101,11,101,101,101,49,34,101,80,101,47,101,59,101,25,5,101,94,101,98,101,101,101,101,101,101,101,32
2244,Kenya,Canada,"Maple Leaf North-West Ground, King City", Aug 19 2009, Kenya tour of Canada at King City,2,1,2,101,101,101,101,101,101,65,66,101,101,89,101,94,41,101,96,101,49,101,101,101,35,101,101,38,101,85,101,101,101,101,101,101,101,78,60,101,101,101,101,101,101,101,79
2245,Ireland,Scotland,"Mannofield Park, Aberdeen", Aug 22 2009, Ireland tour of Scotland at Aberdeen,2,1,1,62,101,101,101,101,101,101,50,101,101,101,101,101,101,101,64,101,101,101,101,101,32,78,101,101,101,101,101,89,101,100,101,101,101,101,101,101,77,101,101,101,101,101,101
2246,Canada,Kenya,"Maple Leaf North-West Ground, King City", Aug 22 2009, Kenya tour of Canada at King City,2,1,2,101,101,53,101,85,101,101,101,101,101,101,101,79,60,101,101,101,101,101,101,101,80,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
2247,England,Ireland,"Civil Service Cricket Club, Stormont, Belfast", Aug 27 2009, England tour of Ireland at Belfast,1,1,1,60,101,101,101,101,101,76,101,25,51,35,101,101,101,101,101,101,79,101,101,101,60,64,101,101,101,101,101,101,43,101,101,101,101,101,42,101,101,101,101,101,101,101,35
2248,Australia,Scotland,"Grange Cricket Club, Raeburn Place, Edinburgh", Aug 28 2009, Australia tour of England and Scotland at Edinburgh,2,1,1,41,50,101,101,11,73,82,101,101,101,101,101,101,101,101,6,101,21,101,56,101,101,71,101,101,101,90,101,101,101,101,101,96,101,101,80,101,101,101,101,101,101,101,101
2249,Netherlands,Afghanistan,"VRA Ground, Amstelveen", Aug 30 2009, Afghanistan tour of Netherlands at Amstelveen,2,1,1,101,101,101,101,101,101,101,101,101,101,38,52,101,101,101,101,101,97,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
2250,Netherlands,Afghanistan,"VRA Ground, Amstelveen", Sep 1 2009, Afghanistan tour of Netherlands at Amstelveen,1,1,2,101,101,101,101,101,101,101,101,34,55,101,101,101,101,101,101,101,96,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
2251,Australia,England,"Kennington Oval, London", Sep 4 2009, Australia tour of England and Scotland at London,2,1,1,39,51,101,101,101,101,11,73,44,101,3,101,49,11,101,4,101,22,101,52,101,6,54,101,55,101,71,101,34,101,27,46,101,101,101,12,101,101,101,75,101,55,101,27
2252,Australia,England,"Lord's, London", Sep 6 2009, Australia tour of England and Scotland at London,2,1,1,40,42,101,101,101,101,14,76,39,101,5,101,52,12,101,4,101,19,101,52,101,6,48,101,50,101,80,101,36,101,25,51,90,101,100,101,101,101,101,61,101,53,101,30
2253,Sri Lanka,New Zealand,"R.Premadasa Stadium, Khettarama, Colombo", Sep 8 2009, Compaq Cup at Colombo,1,1,1,36,101,22,62,30,101,101,101,85,101,84,101,101,101,101,1,101,101,101,38,101,15,28,101,56,101,58,101,18,101,59,101,42,17,101,101,101,3,101,101,101,89,101,8
2254,England,Australia,"The Rose Bowl, Southampton", Sep 9 2009, Australia tour of England and Scotland at Southampton,1,1,2,40,101,49,101,86,101,37,101,25,52,85,101,101,101,101,101,101,62,101,53,101,31,41,41,101,101,88,101,12,77,38,101,5,101,50,16,101,4,101,21,101,51,101,5
2255,New Zealand,India,"R.Premadasa Stadium, Khettarama, Colombo", Sep 11 2009, Compaq Cup at Colombo,1,1,2,31,101,62,101,60,101,20,101,58,101,44,12,101,101,101,2,101,4,101,101,101,9,101,101,11,101,53,101,2,61,101,101,28,101,101,101,101,25,101,54,101,98,101,26
2256,Sri Lanka,India,"R.Premadasa Stadium, Khettarama, Colombo", Sep 12 2009, Compaq Cup at Colombo,1,1,1,36,101,17,65,33,101,101,101,101,101,47,101,66,101,101,1,101,101,101,36,101,13,101,101,11,101,50,101,2,62,35,101,101,101,101,101,101,22,101,60,101,101,101,26
2257,England,Australia,"Lord's, London", Sep 12 2009, Australia tour of England and Scotland at London,1,1,2,40,101,101,101,49,101,82,101,37,101,85,101,101,101,101,14,101,101,101,101,101,59,41,42,101,101,14,101,12,77,31,101,87,101,5,101,101,35,101,4,101,19,101,6
2258,India,Sri Lanka,"R.Premadasa Stadium, Khettarama, Colombo", Sep 14 2009, Compaq Cup at Colombo,1,1,1,49,101,7,101,101,101,2,55,101,101,38,101,101,101,101,20,101,63,101,101,101,27,33,101,17,61,35,101,101,101,101,101,101,101,41,101,65,101,101,1,101,39,101,15
2259,England,Australia,"Trent Bridge, Nottingham", Sep 15 2009, Australia tour of England and Scotland at Nottingham,1,1,2,40,101,101,101,51,101,78,101,34,101,69,101,101,83,101,14,101,101,101,101,101,56,42,42,101,101,12,101,13,78,7,101,38,101,84,101,101,5,101,30,101,6,101,101
2260,Australia,England,"Trent Bridge, Nottingham", Sep 17 2009, Australia tour of England and Scotland at Nottingham,1,1,1,43,42,99,101,13,101,5,101,39,101,77,101,49,11,101,20,101,33,101,101,101,5,40,101,101,101,52,101,83,101,35,101,67,101,101,76,101,101,101,59,101,64,101,26
2261,Australia,England,"Riverside Ground, Chester-le-Street", Sep 20 2009, Australia tour of England and Scotland at Chester-le-Street,2,1,2,45,39,101,101,12,101,13,80,4,101,80,101,51,10,101,8,101,19,101,31,101,99,39,101,101,101,54,101,36,101,26,56,69,101,84,101,101,101,101,41,101,28,101,101
2262,Sri Lanka,South Africa,"SuperSport Park, Centurion", Sep 22 2009, ICC Champions Trophy at Centurion,2,1,1,25,101,17,61,101,101,27,101,82,101,101,100,45,101,101,1,101,101,101,38,101,7,8,101,49,101,10,57,7,101,28,101,38,101,101,64,101,9,101,82,101,15,101,101
2263,West Indies,Pakistan,"The Wanderers Stadium, Johannesburg", Sep 23 2009, ICC Champions Trophy at Johannesburg,1,1,2,101,101,101,101,101,101,101,101,101,101,101,101,101,69,101,101,101,101,101,101,101,101,101,101,43,101,23,59,16,101,34,101,76,101,56,16,101,44,101,82,101,21,101,52
2264,New Zealand,South Africa,"SuperSport Park, Centurion", Sep 24 2009, ICC Champions Trophy at Centurion,2,1,2,28,101,64,101,61,101,17,101,53,101,101,101,101,101,101,4,101,2,101,88,101,5,8,101,44,101,10,53,3,101,31,101,38,101,99,63,101,11,101,72,101,10,101,97
2265,Sri Lanka,England,"The Wanderers Stadium, Johannesburg", Sep 25 2009, ICC Champions Trophy at Johannesburg,2,1,2,26,101,20,63,101,101,28,101,72,101,41,101,98,97,101,1,101,101,101,38,101,9,40,101,101,101,35,101,24,53,59,101,78,101,101,101,101,15,101,42,101,101,101,22
2266,Australia,West Indies,"The Wanderers Stadium, Johannesburg", Sep 26 2009, ICC Champions Trophy at Johannesburg,2,1,1,48,37,97,101,10,101,6,101,40,101,85,101,57,13,101,9,101,19,101,26,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,66,101,84,101,101,101,101,101,101
2267,Pakistan,India,"SuperSport Park, Centurion", Sep 26 2009, ICC Champions Trophy at Centurion,1,1,1,101,101,45,101,101,101,19,64,14,101,59,11,79,101,101,44,101,23,101,81,101,41,17,101,7,101,42,101,101,101,101,101,32,101,101,101,101,21,101,59,101,27,101,92
2268,New Zealand,Sri Lanka,"The Wanderers Stadium, Johannesburg", Sep 27 2009, ICC Champions Trophy at Johannesburg,2,1,1,29,101,48,101,44,101,19,101,60,101,101,101,101,1,101,58,101,4,101,77,101,10,27,101,20,51,101,101,28,101,76,101,45,101,101,95,101,2,101,101,101,41,101,8
2269,England,South Africa,"SuperSport Park, Centurion", Sep 27 2009, ICC Champions Trophy at Centurion,1,1,1,39,101,101,101,26,101,22,55,41,101,101,101,61,101,101,17,101,42,101,15,101,101,3,101,13,101,11,52,4,101,33,101,38,101,98,65,101,11,101,74,101,88,101,6
2270,Australia,India,"SuperSport Park, Centurion", Sep 28 2009, ICC Champions Trophy at Centurion,1,1,2,55,37,72,101,9,101,5,101,76,101,39,101,58,13,101,7,101,20,101,25,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
2271,England,New Zealand,"The Wanderers Stadium, Johannesburg", Sep 29 2009, ICC Champions Trophy at Johannesburg,2,1,2,41,101,101,101,29,101,19,55,42,101,59,101,101,101,101,13,101,43,101,68,101,17,26,101,38,101,101,101,23,101,64,101,101,101,101,1,101,60,101,2,101,5,101,101
2272,Pakistan,Australia,"SuperSport Park, Centurion", Sep 30 2009, ICC Champions Trophy at Centurion,2,1,2,43,101,59,11,101,101,16,60,14,101,30,101,76,101,101,43,101,23,101,36,101,33,51,34,69,101,9,101,3,101,41,101,79,101,60,15,101,8,101,19,101,27,101,101
2273,West Indies,India,"The Wanderers Stadium, Johannesburg", Sep 30 2009, ICC Champions Trophy at Johannesburg,2,1,2,101,101,101,101,101,101,101,101,101,101,101,101,101,58,101,101,101,87,101,101,101,101,101,101,18,101,44,101,80,101,101,101,33,101,101,101,101,101,101,18,101,72,101,101
2274,England,Australia,"SuperSport Park, Centurion", Oct 2 2009, ICC Champions Trophy at Centurion,1,1,2,42,101,101,101,31,101,19,58,44,101,101,101,101,101,101,101,101,46,101,20,101,101,40,30,85,101,6,101,3,101,78,101,41,101,60,18,101,9,101,15,101,27,101,101
2275,Pakistan,New Zealand,"The Wanderers Stadium, Johannesburg", Oct 3 2009, ICC Champions Trophy at Johannesburg,1,1,2,101,101,42,101,18,58,101,101,13,101,56,101,61,11,101,46,101,24,101,70,101,33,26,101,101,101,39,101,22,101,44,101,98,1,101,101,101,62,101,3,101,101,101,5
2276,New Zealand,Australia,"SuperSport Park, Centurion", Oct 5 2009, ICC Champions Trophy at Centurion,1,1,2,101,101,101,101,37,101,22,101,46,101,101,101,101,64,101,1,101,101,101,55,101,5,33,34,89,101,8,101,66,101,3,101,59,19,40,101,101,8,101,15,101,23,101,101
2277,Zimbabwe,Kenya,Harare Sports Club, Oct 12 2009, Kenya tour of Zimbabwe at Harare,1,1,1,46,101,101,101,85,101,53,67,55,101,51,101,69,101,101,101,101,6,101,101,101,101,101,101,101,101,101,101,65,70,101,101,92,101,101,91,101,101,101,39,101,101,101,101
2278,Zimbabwe,Kenya,Harare Sports Club, Oct 13 2009, Kenya tour of Zimbabwe at Harare,1,1,1,43,101,101,101,86,101,58,101,50,101,66,101,57,71,101,23,101,101,101,6,101,101,101,101,101,101,101,101,65,63,101,101,91,101,101,101,101,101,101,42,101,101,101,39
2279,Kenya,Zimbabwe,Harare Sports Club, Oct 15 2009, Kenya tour of Zimbabwe at Harare,1,1,1,101,101,101,101,69,61,101,101,101,101,86,101,101,87,93,40,101,101,101,101,101,39,42,101,101,101,91,101,52,101,65,101,58,77,101,25,101,101,101,6,101,101,49,101
2280,Kenya,Zimbabwe,Harare Sports Club, Oct 17 2009, Kenya tour of Zimbabwe at Harare,1,1,2,97,101,101,101,70,62,101,101,101,101,86,101,101,91,90,39,101,98,101,101,101,40,44,101,101,101,101,101,48,101,66,101,101,101,92,101,101,101,101,101,101,6,101,101
2281,Zimbabwe,Kenya,Harare Sports Club, Oct 18 2009, Kenya tour of Zimbabwe at Harare,1,1,1,40,101,101,101,46,101,92,101,65,101,101,101,101,101,101,101,101,100,101,6,101,80,94,101,101,101,86,101,101,101,101,101,101,91,90,41,101,98,101,101,101,39,101,101
2282,Australia,India,"Reliance Stadium, Vadodara", Oct 25 2009, Australia tour of India at Vadodara,1,1,1,35,33,79,101,6,101,63,101,2,101,101,101,59,22,101,8,101,15,101,21,101,101,11,101,9,101,15,101,70,101,101,101,33,101,101,101,101,17,101,101,101,65,101,28
2283,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur, Dhaka", Oct 27 2009, Zimbabwe tour of Bangladesh at Dhaka,2,1,2,33,101,101,101,49,101,65,101,25,5,73,101,101,101,101,101,101,30,101,101,101,101,40,101,101,101,51,101,86,101,87,101,61,101,52,62,101,101,101,93,101,6,101,101
2284,India,Australia,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur", Oct 28 2009, Australia tour of India at Nagpur,2,1,1,11,101,9,101,14,101,4,59,101,101,29,101,101,19,101,101,101,101,101,65,101,25,35,37,85,101,8,101,62,101,2,101,101,101,78,101,101,10,101,22,101,99,101,101
2285,Zimbabwe,Bangladesh,"Shere Bangla National Stadium, Mirpur, Dhaka", Oct 29 2009, Zimbabwe tour of Bangladesh at Dhaka,1,1,2,40,101,99,101,50,101,84,101,90,101,64,101,101,101,55,54,101,101,101,6,101,101,34,101,101,101,53,101,59,101,20,4,73,101,101,101,101,96,101,101,101,25,101,94
2286,Zimbabwe,Bangladesh,"Shere Bangla National Stadium, Mirpur, Dhaka", Oct 31 2009, Zimbabwe tour of Bangladesh at Dhaka,2,1,2,37,101,58,101,87,101,101,101,101,101,66,101,55,62,101,101,101,88,101,6,101,101,28,101,101,101,46,101,59,101,101,99,77,101,20,4,101,101,101,101,101,24,101,72
2287,Australia,India,"Feroz Shah Kotla, Delhi", Oct 31 2009, Australia tour of India at Delhi,1,1,2,34,38,7,101,2,101,64,101,101,101,101,101,101,9,101,101,101,22,101,93,101,101,12,101,9,101,15,101,3,52,101,101,30,101,101,101,101,17,101,63,101,101,101,27
2288,Australia,India,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh", Nov 2 2009, Australia tour of India at Chandigarh,2,1,1,32,33,84,101,6,101,50,101,2,101,101,101,101,15,101,101,101,13,101,87,101,98,11,101,9,101,72,101,3,53,101,101,31,101,101,101,101,18,101,101,101,52,101,29
2289,Zimbabwe,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram", Nov 3 2009, Zimbabwe tour of Bangladesh at Chattogram,1,1,2,37,101,101,101,62,101,89,101,101,101,66,101,101,101,60,67,101,88,101,5,101,101,28,101,101,101,51,101,54,101,101,101,78,101,101,101,101,101,101,86,101,18,101,53
2290,Pakistan,New Zealand,"Sheikh Zayed Stadium, Abu Dhabi", Nov 3 2009, Pakistan v New Zealand ODI Series at Abu Dhabi,1,1,1,26,101,101,101,101,101,13,101,58,101,47,10,38,101,77,79,101,22,101,56,101,28,29,101,101,101,41,101,23,101,36,85,92,1,52,20,101,101,101,101,101,6,101,80
2291,Zimbabwe,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram", Nov 5 2009, Zimbabwe tour of Bangladesh at Chattogram,2,1,2,39,101,101,101,42,101,56,69,101,101,68,101,101,101,101,101,101,78,101,5,101,76,31,101,101,101,58,101,51,101,22,1,77,101,101,95,101,101,101,18,101,101,101,46
2292,Australia,India,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Nov 5 2009, Australia tour of India at Hyderabad,1,1,1,27,30,63,101,6,101,44,101,2,101,101,101,101,101,101,17,101,101,101,101,101,101,11,101,7,101,15,101,5,54,101,101,30,101,101,13,101,101,101,101,101,47,101,49
2293,New Zealand,Pakistan,"Sheikh Zayed Stadium, Abu Dhabi", Nov 6 2009, Pakistan v New Zealand ODI Series at Abu Dhabi,1,1,1,19,101,101,101,36,101,29,101,37,82,89,1,101,101,49,21,101,3,101,6,101,84,24,101,101,101,101,101,53,9,40,101,13,101,21,63,73,74,101,24,101,55,101,28
2294,India,Australia,"Nehru Stadium, Guwahati", Nov 8 2009, Australia tour of India at Guwahati,1,1,2,12,101,9,101,18,101,6,55,101,101,32,101,101,101,101,9,101,101,101,51,101,46,24,30,67,101,5,101,42,101,2,101,101,101,101,11,101,101,101,15,101,56,101,101
2295,South Africa,Zimbabwe,"Willowmoore Park, Benoni", Nov 8 2009, Zimbabwe tour of South Africa at Benoni,2,1,1,39,101,4,101,3,101,38,101,101,101,86,71,101,101,101,12,101,7,101,101,101,35,101,101,101,101,41,101,45,101,70,101,59,70,63,101,101,69,101,101,101,4,101,83
2296,New Zealand,Pakistan,"Sheikh Zayed Stadium, Abu Dhabi", Nov 9 2009, Pakistan v New Zealand ODI Series at Abu Dhabi,1,1,1,14,101,101,101,36,101,27,101,37,84,90,2,101,101,53,12,101,5,101,7,101,56,25,101,101,101,101,101,23,66,61,101,56,9,41,101,80,82,101,27,101,54,101,18
2297,South Africa,Zimbabwe,"SuperSport Park, Centurion", Nov 10 2009, Zimbabwe tour of South Africa at Centurion,2,1,1,3,101,10,54,4,101,24,101,101,101,85,49,37,101,101,101,101,56,101,101,101,32,44,101,47,101,67,101,63,101,61,74,92,101,101,29,101,75,101,3,101,101,101,85
2298,South Africa,England,"SuperSport Park, Centurion", Nov 22 2009, England tour of South Africa at Centurion,2,1,2,36,101,3,101,9,101,24,101,101,101,101,101,90,48,37,101,101,66,101,7,101,31,101,101,44,101,18,101,14,51,42,101,83,101,101,101,101,101,101,101,101,101,101,19
2299,South Africa,England,"Newlands, Cape Town", Nov 27 2009, England tour of South Africa at Cape Town,1,1,1,31,101,4,101,3,101,26,101,101,101,37,101,101,101,101,65,101,72,101,39,101,8,43,101,101,101,101,101,18,101,11,54,45,101,84,101,101,96,101,14,101,48,101,21
2300,South Africa,England,"St George's Park, Port Elizabeth", Nov 29 2009, England tour of South Africa at Port Elizabeth,1,1,2,34,101,9,101,3,101,28,101,101,101,38,101,101,101,101,11,101,73,101,38,101,32,101,101,44,101,22,101,12,54,40,101,84,101,101,101,101,7,101,48,101,70,101,9
2301,India,Sri Lanka,"Madhavrao Scindia Cricket Ground, Rajkot", Dec 15 2009, Sri Lanka tour of India at Rajkot,2,1,1,10,101,6,101,101,101,34,101,23,101,101,8,79,101,101,101,101,101,101,101,101,48,62,101,18,101,101,101,24,54,30,101,48,101,101,91,84,101,101,4,101,101,101,50
2302,India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur", Dec 18 2009, Sri Lanka tour of India at Nagpur,1,1,2,10,101,6,101,26,101,71,101,101,101,31,101,101,101,101,11,101,101,101,101,101,49,59,101,14,101,101,101,30,101,49,101,90,87,76,101,101,101,101,9,101,101,101,101
2303,Sri Lanka,India,"Barabati Stadium, Cuttack", Dec 21 2009, Sri Lanka tour of India at Cuttack,1,1,2,48,101,12,101,101,101,32,101,54,101,79,101,101,5,101,101,101,46,101,15,101,101,10,101,3,101,26,101,9,65,101,101,30,101,101,98,101,7,101,101,101,45,101,34
